id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
822663367729557620,Rental unit in Montréal · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,500232770,Ludivine,,Villeray-Saint-Michel-Parc-Extension,45.55971619650223,-73.59557001921354,Private room,46,2,10,2023-10-03,1.29,1,55,10,"314415, expires: 2024-07-24"
822671746438764681,Condo in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,234367663,Patrick,,Villeray-Saint-Michel-Parc-Extension,45.56519628401778,-73.64364162963865,Entire home/apt,125,31,4,2023-05-21,0.52,10,263,4,630871
822727922142631689,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,91871718,Sofia,,Villeray-Saint-Michel-Parc-Extension,45.550539051381115,-73.60688219658253,Entire home/apt,91,31,1,2023-08-23,0.63,2,0,1,
823186459103134213,Rental unit in Montréal · 4 bedrooms · 4 beds · 2 baths,434955825,Gabrielle,,Rosemont-La Petite-Patrie,45.53482,-73.60281,Entire home/apt,130,32,0,,,71,39,0,
823191554479549729,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,866055,Semra,,Le Sud-Ouest,45.47240852791857,-73.58355286294035,Entire home/apt,67,180,0,,,1,177,0,
823411810566289642,Rental unit in Montréal · ★4.96 · 2 bedrooms · 2 beds · 1 bath,496935575,Jimmy,,Ville-Marie,45.49931343615191,-73.56038724559129,Entire home/apt,287,31,28,2023-10-05,3.62,3,125,28,"315682, expires: 2024-09-21"
823684157603278790,Rental unit in Montréal · ★4.38 · 3 bedrooms · 3 beds · 1 bath,481594317,Helene,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.480739948271136,-73.62221785452171,Entire home/apt,184,31,13,2023-09-04,1.68,18,55,13,"308201, expires: 2023-12-31"
823771101686382337,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,46113643,Nicolas,,Mercier-Hochelaga-Maisonneuve,45.54383261757884,-73.53802703675629,Entire home/apt,70,31,3,2023-09-22,0.45,1,323,3,
823885719273478405,Rental unit in Westmount · ★4.73 · 2 bedrooms · 2 beds · 1 bath,497661818,Alexander,,Westmount,45.478697828695395,-73.60393336511568,Entire home/apt,173,31,11,2023-09-24,1.81,1,313,11,"310434, expires: 2024-06-30"
823916677063009871,Rental unit in Montréal · ★4.63 · 1 bedroom · 1 bed · 1 bath,479579789,Ali,,Le Sud-Ouest,45.49252400282514,-73.55798956286668,Entire home/apt,275,31,8,2023-09-04,1.13,1,0,8,302943
